appid,genre
10,action
20,action
30,fps
50,fps
70,fps
80,action
130,fps
220,fps
240,action
300,fps
320,action
340,fps
380,fps
400,first_person
420,fps
440,multiplayer
500,co_op
550,co_op
570,strategy
620,co_op
630,co_op
730,fps
1250,fps
1840,sandbox
2600,rpg
3830,adventure
4000,sandbox
4500,atmospheric
4920,multiplayer
6860,action
6910,rpg
8190,open_world
8870,fps
9420,strategy
9480,open_world
10090,fps
11020,multiplayer
12100,open_world
12110,open_world
12120,open_world
12140,action
12200,open_world
15620,strategy
16450,fps
17080,fps
17300,fps
17450,rpg
17460,rpg
17470,action
18500,strategy
20510,open_world
20920,rpg
21090,fps
21100,fps
22000,indie
22100,rpg
22300,open_world
22350,fps
22380,open_world
24980,rpg
25000,action
25890,strategy
26800,indie
29800,action
39000,simulation
39120,rpg
39140,rpg
39150,rpg
39210,rpg
39510,rpg
40100,strategy
40300,rpg
40700,adventure
40970,strategy
41000,fps
41070,fps
41500,rpg
41700,open_world
42910,action
42960,strategy
44350,multiplayer
47410,strategy
47810,rpg
48000,indie
48700,rpg
49520,fps
50300,story_rich
55100,action
55150,action
55230,open_world
57300,first_person
57690,simulation
57900,fps
65800,rpg
65930,action
67370,fps
70000,action
70300,indie
70400,rpg
72850,open_world
91700,rpg
92800,difficult
94400,indie
95400,co_op
96000,adventure
98800,rpg
99900,rpg
102600,action
104200,indie
104900,action
105600,sandbox
107100,great_soundtrack
107410,simulation
108600,survival
108710,action
109600,rpg
110800,open_world
113200,indie
113400,open_world
115800,adventure
200170,strategy
200510,strategy
200710,rpg
200900,indie
201790,co_op
201810,fps
202750,action
203160,adventure
203290,fps
203750,action
203770,strategy
204030,rpg
204100,action
204340,action
205100,first_person
205910,indie
206190,indie
206420,open_world
206440,story_rich
206500,strategy
207140,multiplayer
207170,rpg
207690,adventure
209080,multiplayer
209670,indie
210770,fps
210970,first_person
211400,indie
211820,sandbox
212070,action
212160,action
212680,indie
212800,indie
214340,adventure
214420,multiplayer
214490,sci_fi
214730,rpg
214770,action
215080,rpg
215280,rpg
215470,multiplayer
215530,rpg
216150,rpg
217200,strategy
218230,fps
218620,co_op
218640,adventure
218680,casual
219150,great_soundtrack
219640,multiplayer
219830,action
219890,first_person
219990,rpg
220200,simulation
220700,rpg
220780,indie
221100,survival
221260,casual
221640,difficult
221910,indie
222730,strategy
222880,fps
223470,action
223710,co_op
223750,simulation
224260,survival
224480,indie
224600,action
224760,indie
225080,adventure
225600,action
225840,multiplayer
226580,simulation
226840,strategy
226860,strategy
227100,action
227300,simulation
227940,multiplayer
228280,rpg
228300,action
228380,simulation
230050,indie
230190,strategy
230410,action
231160,sci_fi
231430,strategy
232010,simulation
232090,co_op
232430,indie
232790,adventure
232890,strategy
233130,action
233150,indie
233450,simulation
233470,rpg
233610,great_soundtrack
233860,open_world
234140,open_world
234630,simulation
234650,rpg
235460,great_soundtrack
235540,action
235800,indie
236090,action
236110,multiplayer
236390,multiplayer
236690,strategy
236850,strategy
237310,rpg
237870,sandbox
237930,great_soundtrack
237990,rpg
238010,rpg
238210,rpg
238320,atmospheric
238370,co_op
238430,survival
238960,rpg
239030,indie
239070,indie
239140,survival
239160,action
239200,indie
239820,simulation
241600,indie
242640,singleplayer
242680,indie
242700,action
242720,action
242760,survival
242820,indie
242860,fps
242920,strategy
243970,strategy
244160,strategy
244210,simulation
244450,strategy
244850,sandbox
244930,multiplayer
245470,simulation
245620,strategy
246420,strategy
246620,strategy
246900,simulation
247020,simulation
247080,great_soundtrack
248310,action
248390,sandbox
248570,multiplayer
248610,strategy
248820,indie
250180,action
250260,indie
250320,adventure
250340,sandbox
250400,survival
250600,indie
250900,indie
251060,strategy
251150,rpg
251570,survival
251990,simulation
252330,first_person
252410,indie
252490,survival
252610,action
253030,indie
253110,story_rich
253230,great_soundtrack
253250,sandbox
253430,survival
253710,multiplayer
253980,rpg
255710,simulation
256290,rpg
261640,co_op
262060,rpg
262410,simulation
263060,action
264200,action
264710,survival
265210,simulation
265630,multiplayer
265890,indie
265930,simulation
266010,indie
266210,rpg
266510,rpg
266840,strategy
268050,atmospheric
268130,indie
268420,rpg
268750,indie
268910,difficult
269210,rpg
269770,rpg
269950,simulation
270150,action
270210,indie
270450,multiplayer
270550,survival
270850,simulation
270880,simulation
271590,open_world
272060,indie
272510,action
274170,great_soundtrack
274190,action
274520,survival
274900,indie
274920,funny
274940,action
275850,open_world
276810,rpg
278360,adventure
280160,action
280790,survival
281990,strategy
282070,survival
282140,atmospheric
282800,multiplayer
283640,difficult
284160,simulation
285190,strategy
285900,funny
285920,open_world
286160,simulation
286570,simulation
286690,atmospheric
287390,atmospheric
287450,strategy
287700,open_world
287980,strategy
288160,adventure
288470,rpg
290080,open_world
290300,sci_fi
290340,strategy
291480,fps
291550,multiplayer
291650,rpg
293260,rpg
293780,indie
294100,survival
296300,fps
296470,funny
297130,difficult
298630,strategy
299360,action
299460,indie
299740,survival
300380,action
300550,rpg
301520,multiplayer
301640,action
301910,action
302380,casual
302510,action
302670,strategy
303210,story_rich
303390,indie
304030,open_world
304050,open_world
304430,atmospheric
304930,survival
305620,survival
307690,open_world
307780,action
307880,survival
310080,story_rich
310560,simulation
310950,multiplayer
311310,open_world
311340,action
311690,difficult
312530,multiplayer
312660,multiplayer
312990,action
313120,survival
313160,simulation
313340,simulation
313740,singleplayer
314020,casual
315430,indie
316010,strategy
316790,adventure
317360,action
318600,survival
319510,singleplayer
319910,adventure
320240,open_world
320300,simulation
322170,difficult
322330,survival
322500,fps
323190,survival
323320,open_world
323470,action
323850,multiplayer
324800,action
325610,strategy
326460,multiplayer
327890,simulation
330830,adventure
331470,story_rich
332200,indie
332310,open_world
332500,survival
332800,singleplayer
333420,strategy
333600,singleplayer
333950,sandbox
334230,strategy
335240,multiplayer
335670,rpg
337320,action
337340,story_rich
339800,singleplayer
